brand,brand_prefix,part_code,priority
Acura,AC,CMS,high
Acura,AC,CMP,high
Acura,AC,CKP,high
Acura,AC,CSF,high
Acura,AC,EMB,high
Acura,AC,EMG,high
Acura,AC,CSR,high
Acura,AC,EML,high
Acura,AC,OPM,high
Acura,AC,THB,high
Acura,AC,PCV,high
Acura,AC,HGG,high
Acura,AC,EMR,high
Acura,AC,IMG,high
Acura,AC,MAP,high
Acura,AC,OPS,high
Acura,AC,VCG,high
Acura,AC,EXC,high
Acura,AC,EXT,high
Acura,AC,SBR,high
Acura,AC,SBS,high
Acura,AC,SDB,high
Acura,AC,STM,high
Acura,AC,ABK,high
Acura,AC,ABR,high
Acura,AC,ABT,high
Acura,AC,FF,high
Acura,AC,ODP,high
Acura,AC,ATF,high
Acura,AC,ATG,high
Acura,AC,ATP,high
Acura,AC,CLK,high
Acura,AC,CMC,high
Acura,AC,CRB,high
Acura,AC,CSC,high
Acura,AC,CVJ,high
Acura,AC,HUR,high
Acura,AC,TMM,high
Acura,AC,TSH,high
Acura,AC,FAN,high
Acura,AC,TST,high
Acura,AC,RAD,high
Audi,AU,CKP,high
Acura,AC,SBF,high
Audi,AU,CMP,high
Acura,AC,CAB,high
Audi,AU,EMB,high
Audi,AU,EMG,high
Acura,AC,RAB,high
